Продукт,"Жиры, г","Белки, г","Углеводы, г","Калорийность, Ккал"
Сазан,"2,0","38,0","0,0","178,0"
Салака,"6,3","17,0","0,0","125,0"
Салака горячего копчения,"8,5","17,0","0,0","145,0"
Сельдь рубленая,"15,0","14,0","0,0","191,0"
Семга свежая,"13,0","20,0","0,0","208,0"
Семга соленая потрошенная с головой,"12,5","22,5","0,0","202,0"
Сибасс свежий,"2,0","18,0","0,0","97,0"
Сиг свежий,"6,0","19,0","0,0","134,0"
Скумбрия атлантическая,"6,4","23,4","0,0","150,0"
"Скумбрия в масле, консервы","28,9","14,4","0,0","318,0"
Солянка рыбная,"1,2","2,4","1,2","25,0"
Сом,"5,1","17,2","0,0","115,0"
"Сом в томатном соусе, консервы","6,0","13,7","8,7","144,0"
Теша осетровая холодного копчения,"25,7","17,6","0,0","302,0"
Тиляпия свежая,"2,0","20,0","0,0","96,0"
Треска,"5,1","9,7","3,9","101,0"
Тунец,"5,0","23,0","0,0","144,0"
Угорь,"11,8","37,0","0,0","264,0"
Форель морская свежая,"1,9","11,8","7,6","95,0"
Хек,"2,2","16,6","0,0","86,0"
Хек припущенный,"2,4","17,8","0,0","91,0"
Чавыча,"0,4","5,0","53,0","242,0"
Айва,"0,5","0,6","9,6","48,0"
Алыча,"0,1","0,2","7,9","34,0"
Ананас,"0,6","2,8","66,9","255,0"
Апельсин,"0,2","0,9","8,1","43,0"
Апельсин с сахаром,"0,2","0,7","28,7","122,0"
Банан,"0,3","0,4","68,2","265,0"
Вишня,"0,2","0,8","10,6","52,0"
Вишня с сахаром,"0,4","0,7","21,7","97,0"
Гранат,"0,6","0,7","14,5","72,0"
Грейпфрут,"0,2","0,7","6,5","35,0"
Грейпфрут с сахаром,"0,2","0,5","28,1","120,0"
Груша,"0,3","0,4","10,3","47,0"
Груша сушеная,"0,6","2,3","62,6","270,0"
Джем из абрикосов,"0,0","0,5","71,6","276,0"
Джем мандариновый,"0,0","0,3","71,8","276,0"
Изюм,"0,0","3,0","79,0","299,0"
Инжир,"0,2","0,7","12,0","54,0"
Инжир сушеный,"0,0","1,0","11,0","30,0"
Лимон,"0,1","0,9","3,0","34,0"
Лимон с сахаром,"0,1","0,6","38,7","169,0"
Манго,"1,0","0,0","18,0","73,0"
Мандарин,"0,2","0,8","7,5","38,0"
Нектарины,"0,0","2,0","15,0","63,0"
Папайя,"0,0","1,0","10,0","39,0"
Персик,"0,1","0,9","9,5","45,0"
Персик сушеный,"0,4","3,0","57,7","254,0"
Повидло яблочное,"0,0","0,4","65,0","250,0"
Помело,"0,0","1,0","8,0","33,0"
Пюре яблочное,"0,1","2,2","59,0","253,0"
Арбуз,"0,1","0,6","5,8","27,0"
Брусника,"0,5","0,7","8,2","46,0"
Варенье из клубники,"0,1","0,3","74,0","285,0"
Варенье из малины,"0,2","0,6","70,4","273,0"
Виноград,"0,5","2,3","65,8","281,0"
Голубика,"0,1","0,6","72,9","284,0"
Дыня,"0,3","0,6","7,4","35,0"
Ежевика,"0,5","1,5","4,4","34,0"
Земляника (садовая),"0,4","0,8","7,5","41,0"
Клубника,"0,3","0,7","7,7","32,0"
Клюква,"0,2","0,5","3,7","28,0"
Крыжовник,"0,2","0,7","9,1","45,0"
Малина,"0,5","0,8","8,3","46,0"
Малина с молоком,"1,8","1,8","12,7","76,0"
Морошка,"0,9","0,8","7,4","40,0"
Облепиха,"5,4","1,2","5,7","82,0"
Смородина белая,"0,2","0,5","8,0","42,0"
Смородина красная,"0,2","0,6","7,7","43,0"
Смородина черная,"0,4","1,0","7,3","44,0"
Суп-пюре из малины,"0,1","0,2","11,2","48,0"
Тыква,"0,1","1,0","4,4","23,0"
Черника,"0,6","1,1","7,6","44,0"
Шиповник,"1,4","3,4","48,3","284,0"
Белок,"0,0","11,1","1,0","48,0"
Белок сухой,"1,8","82,4","1,2","350,0"
Желток,"11,5","12,7","0,7","157,0"
Омлет из яичного порошка,"17,0","10,3","1,6","200,0"
Перепелиное яйцо целое,"13,1","11,9","0,6","168,0"
Салат яичный,"18,8","7,6","3,1","213,0"
Яичница глазунья,"20,9","12,9","0,9","243,0"
Яичный порошок,"37,3","46,0","4,5","542,0"
Яйцо отварное,"11,5","12,7","0,7","157,0"
Яйцо под майонезом,"24,5","4,1","4,7","256,0"
